Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3, BT4",JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,4,Battery_Cell,C265003 
"C1, C10, C12, C15, C17, C20, C22, C23, C24, C25, C27, C29, C30, C32, C4, C5, C66, C67, C7, C72, C73, C74, C76, C77, C79, C83",0402,26,100nF,C1525 
"C11, C6",0402,2,4.7uF,C23733
C13,0402,1,20pF,C1554 
"C14, C46, C47",0402,3,20pF,C1554
"C16, C35",0402,2,100nF,C1525
"C18, C19",0402,2,470nF,C92361
"C2, C21, C26, C3, C31, C34, C36, C37, C48, C49, C51, C52, C53, C9",0402,14,1uF,C52923
"C28, C75",0603,2,10uF,C96446 
"C33, C39, C42, C43, C44, C45, C50, C54, C55, C61, C62",0805,11,22uF,C6119899 
C38,CP_Elec_6.3x5.4,1,100uF 16V,C37308
"C40, C41",0402,2,22nF,C1532
"C56, C57, C58, C59, C64, C65",1206,6,47uF,C5448950
"C60, C63",0402,2,3.3nF,C1536
C68,0805,1,10uF,C15850 
"C69, C70",0805,2,1uF,C28323
C71,0805,1,100nF,C28233 
C8,0402,1,10nF,C15195
"D1, D2, D23, D3, D4",0402,5,LED_0402,C41366936 
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D5, D6, D7, D8, D9",0402,18,BACKL,C41366936 
D25,D_SOD-123,1,MBR0540,C116159
D26,D_SOD-323,1,MM3Z24VT1G,C463816 
"D27, D28, D29",LED-SMD_3P-L3.0-W1.0-R-RD,3,LKIR30102C-A01(DY),C2759909
"D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_68, D_7, D_8, D_9",D_SOD-523,68,D,C27748
D_69,D_SOD-123,1,MBR0540,C116159 
"F1, F3, F4",0603,3,500mA,C210357
J1,CONN4_BM04B-SRSS_JST,1,CPU_FAN,C160390
J10,AFC07-S30ECA-00,1,Conn_01x30,C262569
J11,AFC07-S22ECA-00,1,Conn_01x22,C262642
J12,HDMI-519S,1,HDMI_C_1.3,C183605
