Designator,Mid X,Mid Y,Rotation,Layer
BT1,153.87,-114.12,180.0,bottom
BT2,163.72,-114.12,180.0,bottom
C1,163.916249,-137.6575,270.0,bottom
C10,167.138757,-126.812501,90.0,bottom
C100,168.83,-87.3,270.0,bottom
C101,167.9,-91.41,270.0,bottom
C102,165.55,-91.31,0.0,bottom
C103,165.55,-93.4,180.0,bottom
C104,162.69,-80.21,180.0,bottom
C105,162.64,-82.27,180.0,bottom
C106,155.855,-77.37,180.0,bottom
C107,168.83,-84.12,90.0,bottom
C108,172.18,-78.51,0.0,bottom
C109,172.18,-80.6,0.0,bottom
C11,168.12125,-126.812503,90.0,bottom
C110,172.18,-82.68,0.0,bottom
C111,155.21,-87.31,90.0,bottom
C112,155.855,-76.34,180.0,bottom
C113,155.855,-78.42,180.0,bottom
C114,155.855,-79.47,180.0,bottom
C115,157.31,-87.31,90.0,bottom
C116,159.46,-87.31,90.0,bottom
C117,158.635,-76.51,0.0,bottom
C118,158.635,-78.06,0.0,bottom
C119,159.98,-79.7,180.0,bottom
C12,219.17,-108.605,270.0,bottom
C120,158.02,-79.69,0.0,bottom
C121,163.43,-77.31,90.0,bottom
C122,161.28,-77.31,90.0,bottom
C123,153.825,-60.05,0.0,bottom
C13,216.277734,-113.462128,90.0,bottom
C14,211.462911,-115.214213,90.0,bottom
C15,209.035729,-111.784419,180.0,bottom
C16,209.362847,-102.181161,180.0,bottom
C17,235.51,-86.5,270.0,bottom
C18,231.92375,-110.205,270.0,bottom
C19,239.78375,-106.485,0.0,bottom
C2,158.445648,-121.607093,0.0,bottom
C20,232.12375,-115.965,90.0,bottom
C21,207.76331,-102.650008,90.0,bottom
C22,220.195,-108.605,270.0,bottom
C23,211.037297,-111.784754,180.0,bottom
C24,206.534346,-107.212996,180.0,bottom
C25,206.667769,-105.164031,180.0,bottom
C26,236.70375,-93.165,90.0,bottom
C27,207.107907,-104.13799,180.0,bottom
C28,192.718632,-114.56,180.0,bottom
C29,213.91317,-101.22721,0.0,bottom
C3,157.327653,-126.7465,0.0,bottom
C30,217.43901,-103.510117,0.0,bottom
C31,217.68375,-108.135,0.0,bottom
C32,192.440294,-116.045058,0.0,bottom
C33,190.14125,-114.78,270.0,bottom
C34,207.083917,-109.350381,0.0,bottom
C35,209.59899,-94.466911,0.0,bottom
C36,236.90375,-108.235,0.0,bottom
C37,239.09375,-116.985,180.0,bottom
C38,248.696086,-113.879603,0.0,bottom
C39,234.57375,-117.485,0.0,bottom
C4,166.216249,-137.657501,90.0,bottom
C40,236.70375,-100.515,90.0,bottom
C41,239.87375,-94.785,0.0,bottom
C42,239.15375,-96.385,180.0,bottom
