Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C101, C106, C107, C113, C114, C119, C12, C120, C123, C129, C130, C15, C17, C20, C22, C23, C24, C25, C27, C29, C30, C32, C4, C5, C66, C67, C7, C72, C73, C74, C75, C79, C83, C88, C89, C90, C91, C92",0402,41,100nF,C1525 
"C102, C103, C104, C105, C108, C109, C110, C111, C121, C122, C95, C96, C97, C98, C99",0805,15,10uF,C15850 
"C11, C112, C6, C76",0402,4,4.7uF,C23733
"C115, C116, C33, C39, C42, C43, C44, C45, C50, C54, C55, C61, C62",0805,13,22uF,C6119899 
"C117, C118",0603,2,330pF,C1664
C13,0402,1,20pF,C1554 
"C14, C46, C47",0402,3,20pF,C1554
"C16, C35",0402,2,100nF,C1525
"C18, C19",0402,2,470nF,C92361
"C2, C21, C26, C3, C31, C34, C36, C37, C48, C49, C51, C52, C53, C9",0402,14,1uF,C52923
C28,0603,1,10uF,C96446 
C38,CP_Elec_6.3x5.4,1,100uF 16V,C37308
"C40, C41",0402,2,22nF,C1532
"C56, C57, C58, C59, C64, C65, C68, C69",1206,8,47uF,C5448950
"C60, C63",0402,2,3.3nF,C1536
"C77, C93",0402,2,47nF,C1538
C8,0402,1,10nF,C15195
C84,0603,1,2.2uF,C23630
"C85, C86, C87",0402,3,220nF,C16772
C94,0402,1,1nF,C1523
"D1, D2, D23, D25, D26, D3, D35, D36, D37, D4",0402,10,LED_0402,C41366936 
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D5, D6, D7, D8, D9",0402,18,BACKL,C41366936 
"D27, D28, D29",LED-SMD_3P-L3.0-W1.0-R-RD,3,LKIR30102C-A01(DY),C2759909
"D30, D32",0402,2,RB161QS-40T18R,C2837790 
D31,D_SOD-123,1,MMSZ4678T1G,C36599
D33,D_SOD-323,1,MMSZ5246BS-7-F,C151819 
D34,TPD2EUSB30DRTR,1,TPD2EUSB30DRTR,C97502
"D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_68, D_7, D_8, D_9",D_SOD-523,68,D,C27748
